| ID |   Usuário   |       Data Inicial       |        Data Final        |
| 51 | user_464    | 2020-07-25 23:45:12      | 2020-08-19 09:12:34      |
| 52 | user_017    | 2022-12-29 04:14:22      | 2023-01-24 17:20:55      |
| 53 | user_285    | 2023-09-03 16:55:38      | 2023-09-28 08:19:56      |
| 54 | user_356    | 2020-10-03 10:33:14      | 2020-10-28 01:11:38      |
| 55 | user_168    | 2022-04-19 18:47:34      | 2022-05-15 06:29:47      |
| 56 | user_301    | 2021-12-31 08:27:01      | 2022-01-27 16:10:24      |
| 57 | user_040    | 2024-01-30 14:07:59      | 2024-02-23 17:47:30      |
| 58 | user_111    | 2023-01-24 01:49:47      | 2023-02-18 06:22:28      |
| 59 | user_376    | 2021-06-07 22:03:44      | 2021-07-02 12:28:18      |
| 60 | user_286    | 2022-07-19 10:38:37      | 2022-08-08 07:23:19      |
| 61 | user_199    | 2024-03-13 06:59:12      | 2024-04-06 10:41:02      |
| 62 | user_243    | 2023-02-14 09:19:02      | 2023-03-09 21:45:05      |
| 63 | user_398    | 2020-11-27 18:52:33      | 2020-12-23 08:41:43      |
| 64 | user_022    | 2023-07-15 20:01:49      | 2023-08-09 13:14:09      |
| 65 | user_127    | 2022-09-18 17:07:29      | 2022-10-16 00:53:02      |
| 66 | user_296    | 2020-11-18 03:14:08      | 2020-12-08 10:58:17      |
| 67 | user_329    | 2023-11-08 14:48:53      | 2023-12-03 18:40:44      |
| 68 | user_498    | 2022-01-31 10:35:47      | 2022-02-22 22:11:16      |
| 69 | user_289    | 2021-08-06 06:32:17      | 2021-08-31 15:43:52      |
| 70 | user_479    | 2024-01-08 22:51:29      | 2024-02-02 06:27:36      |
| 71 | user_217    | 2023-03-02 19:15:59      | 2023-03-29 18:32:37      |
| 72 | user_002    | 2022-04-02 21:18:42      | 2022-04-26 21:23:07      |
| 73 | user_054    | 2020-08-05 16:34:57      | 2020-08-31 13:09:40      |
| 74 | user_447    | 2024-03-09 06:57:39      | 2024-04-02 20:36:18      |
| 75 | user_167    | 2021-12-16 23:09:17      | 2022-01-12 15:45:32      |
| 76 | user_397    | 2023-08-08 00:20:32      | 2023-09-01 11:15:05      |
| 77 | user_442    | 2020-04-14 05:54:49      | 2020-05-08 14:41:37      |
| 78 | user_065    | 2022-12-21 07:29:19      | 2023-01-14 15:29:04      |
| 79 | user_483    | 2023-05-18 02:49:26      | 2023-06-14 15:06:22      |
| 80 | user_178    | 2021-10-12 10:19:14      | 2021-11-07 06:52:41      |
| 81 | user_338    | 2020-12-23 01:06:32      | 2021-01-17 07:17:19      |
| 82 | user_125    | 2023-09-29 00:33:19      | 2023-10-25 02:44:38      |
| 83 | user_401    | 2022-08-26 06:01:14      | 2022-09-17 17:46:30      |
| 84 | user_402    | 2021-02-19 22:26:19      | 2021-03-17 07:55:03      |
| 85 | user_274    | 2020-06-26 04:41:20      | 2020-07-22 10:43:56      |
| 86 | user_025    | 2023-12-20 21:12:29      | 2024-01-13 03:32:07      |
| 87 | user_221    | 2022-09-06 06:37:47      | 2022-10-02 07:58:13      |
| 88 | user_100    | 2024-04-17 03:45:31      | 2024-05-09 12:38:11      |
| 89 | user_313    | 2023-07-10 18:17:28      | 2023-08-02 13:04:56      |
| 90 | user_229    | 2022-01-25 10:25:34      | 2022-02-18 09:01:53      |
| 91 | user_189    | 2020-10-13 02:16:11      | 2020-11-05 16:14:47      |
| 92 | user_270    | 2023-04-21 09:57:53      | 2023-05-19 18:16:23      |
| 93 | user_484    | 2022-05-09 00:32:17      | 2022-06-02 10:43:53      |
| 94 | user_238    | 2021-03-29 07:41:11      | 2021-04-25 01:42:57      |
| 95 | user_116    | 2020-09-05 23:17:39      | 2020-10-01 04:34:31      |
| 96 | user_172    | 2023-01-10 15:51:49      | 2023-02-05 00:03:55      |
| 97 | user_410    | 2021-05-14 02:07:35      | 2021-06-08 17:23:22      |
| 98 | user_011    | 2024-03-28 13:24:42      | 2024-04-20 01:38:04      |
| 99 | user_408    | 2023-03-20 21:53:28      | 2023-04-16 16:12:19      |
|100 | user_145    | 2022-12-16 10:31:52      | 2023-01-10 09:27:33      |
|101 | user_375    | 2021-08-16 06:27:45      | 2021-09-10 12:15:22      |
|102 | user_103    | 2020-05-04 20:04:38      | 2020-05-28 13:51:01      |
|103 | user_320    | 2024-04-15 12:47:26      | 2024-05-09 05:24:47      |
|104 | user_025    | 2023-07-04 07:58:12      | 2023-07-28 18:22:33      |
|105 | user_295    | 2022-09-27 08:39:22      | 2022-10-19 05:16:45      |
|106 | user_124    | 2020-09-17 20:53:44      | 2020-10-13 10:20:30      |
|107 | user_332    | 2023-02-19 21:24:57      | 2023-03-16 04:50:08      |
|108 | user_450    | 2020-05-22 06:13:55      | 2020-06-15 10:35:49      |
|109 | user_193    | 2024-01-26 10:28:47      | 2024-02-17 14:02:21      |
|110 | user_456    | 2022-11-02 17:49:30      | 2022-11-28 14:23:15      |
|111 | user_040    | 2023-01-13 06:37:02      | 2023-02-07 06:27:25      |
|112 | user_318    | 2021-03-02 13:56:31      | 2021-03-26 11:10:43      |
|113 | user_178    | 2020-09-24 11:47:52      | 2020-10-16 21:19:13      |
|114 | user_437    | 2023-12-07 00:14:49      | 2024-01-01 02:13:19      |
|115 | user_122    | 2022-05-09 19:07:37      | 2022-06-02 19:56:04      |
|116 | user_215    | 2020-07-03 07:54:23      | 2020-07-29 07:42:19      |
|117 | user_341    | 2023-11-21 06:58:28      | 2023-12-15 16:39:22      |
|118 | user_466    | 2022-03-03 08:34:31      | 2022-03-31 02:06:07      |
|119 | user_057    | 2021-02-27 00:23:58      | 2021-03-24 04:36:13      |
|120 | user_393    | 2024-02-14 12:07:55      | 2024-03-09 10:26:40      |
|121 | user_004    | 2022-11-26 05:46:13      | 2022-12-20 20:15:53      |
|122 | user_321    | 2023-05-04 07:58:12      | 2023-05-31 12:19:37      |
|123 | user_236    | 2020-11-16 22:34:58      | 2020-12-11 02:41:41      |
|124 | user_058    | 2023-09-14 14:11:09      | 2023-10-10 15:15:28      |
|125 | user_473    | 2021-07-07 09:36:54      | 2021-07-31 16:57:38      |
|126 | user_495    | 2020-06-25 03:25:28      | 2020-07-21 15:18:32      |
|127 | user_301    | 2023-04-15 05:18:33      | 2023-05-09 22:12:06      |
|128 | user_171    | 2022-05-30 02:42:31      | 2022-06-27 04:29:43      |
|129 | user_233    | 2020-08-20 01:43:17      | 2020-09-14 11:56:29      |
|130 | user_345    | 2024-03-01 02:39:48      | 2024-03-24 19:09:04      |
|131 | user_213    | 2022-12-23 22:29:39      | 2023-01-17 13:14:08      |
|132 | user_131    | 2020-10-17 16:12:59      | 2020-11-08 10:34:32      |
|133 | user_478    | 2023-06-07 15:27:49      | 2023-07-02 00:01:38      |
|134 | user_243    | 2022-01-10 05:47:38      | 2022-02-03 02:42:17      |
|135 | user_128    | 2023-01-30 03:29:11      | 2023-02-23 07:23:55      |
|136 | user_349    | 2020-06-03 01:44:57      | 2020-06-26 17:39:06      |
|137 | user_124    | 2023-08-12 11:58:39      | 2023-09-04 21:04:58      |
|138 | user_466    | 2022-10-23 17:09:12      | 2022-11-17 18:47:52      |
|139 | user_147    | 2021-05-01 10:52:49      | 2021-05-26 15:15:24      |
|140 | user_292    | 2020-08-27 12:47:05      | 2020-09-20 11:43:53      |
|141 | user_241    | 2023-12-13 10:13:18      | 2024-01-07 10:17:57      |
|142 | user_306    | 2022-07-25 15:39:02      | 2022-08-21 10:16:24      |
|143 | user_118    | 2021-03-25 09:22:35      | 2021-04-21 16:36:23      |
|144 | user_435    | 2024-04-05 06:31:51      | 2024-05-01 15:21:20      |
|145 | user_072    | 2023-07-20 23:01:49      | 2023-08-16 06:13:14      |
|146 | user_011    | 2020-09-22 10:52:37      | 2020-10-17 17:21:45      |
|147 | user_279    | 2022-04-15 19:02:29      | 2022-05-09 23:39:19      |
|148 | user_233    | 2023-02-10 00:41:28      | 2023-03-04 17:58:55      |
|149 | user_402    | 2021-01-02 03:12:38      | 2021-01-28 15:06:40      |
|150 | user_246    | 2020-04-30 10:07:42      | 2020-05-25 02:22:30      |
|151 | user_393    | 2023-01-17 15:32:22      | 2023-02-10 16:34:11      |
|152 | user_342    | 2022-10-06 10:18:49      | 2022-11-02 02:14:17      |
|153 | user_147    | 2021-10-20 02:29:58      | 2021-11-14 10:24:23      |
|154 | user_277    | 2020-06-12 13:08:49      | 2020-07-08 01:13:07      |
|155 | user_088    | 2023-07-24 11:59:13      | 2023-08-18 18:36:25      |
|156 | user_342    | 2020-07-11 02:47:55      | 2020-08-02 17:57:36      |
|157 | user_406    | 2022-09-13 06:01:32      | 2022-10-09 02:47:38      |
|158 | user_321    | 2023-11-17 19:15:29      | 2023-12-13 14:30:10      |
|159 | user_102    | 2022-04-04 21:18:13      | 2022-04-27 08:50:40      |
|160 | user_312    | 2021-07-30 14:56:11      | 2021-08-25 10:20:43      |
|161 | user_079    | 2020-12-03 04:15:33      | 2020-12-28 04:42:55      |
|162 | user_482    | 2023-06-02 07:13:58      | 2023-06-28 11:09:02      |
|163 | user_065    | 2020-07-20 16:09:24      | 2020-08-15 06:52:33      |
|164 | user_431    | 2023-12-28 17:45:09      | 2024-01-22 10:20:05      |
|165 | user_206    | 2022-01-22 14:09:47      | 2022-02-14 13:10:41      |
|166 | user_221    | 2020-12-08 00:51:22      | 2021-01-01 07:23:37      |
|167 | user_038    | 2023-05-07 15:06:42      | 2023-05-31 23:45:20      |
|168 | user_267    | 2021-03-23 19:42:17      | 2021-04-15 12:22:01      |
|169 | user_185    | 2020-10-30 04:07:42      | 2020-11-21 05:36:09      |
|170 | user_058    | 2024-02-15 13:25:39      | 2024-03-09 19:16:05      |
|171 | user_352    | 2023-02-09 08:39:58      | 2023-03-06 08:22:07      |
|172 | user_199    | 2022-10-01 04:28:17      | 2022-10-27 04:02:39      |
|173 | user_231    | 2021-01-26 09:07:42      | 2021-02-21 08:51:56      |
|174 | user_433    | 2024-03-26 17:52:09      | 2024-04-20 17:41:07      |
|175 | user_018    | 2020-07-22 11:11:36      | 2020-08-15 13:56:43      |
|176 | user_350    | 2022-11-09 01:39:25      | 2022-12-05 03:26:29      |
|177 | user_403    | 2021-08-30 07:13:08      | 2021-09-25 17:41:49      |
|178 | user_378    | 2020-09-24 15:29:42      | 2020-10-17 06:58:03      |
|179 | user_465    | 2023-10-14 07:44:28      | 2023-11-07 17:22:01      |
|180 | user_121    | 2022-05-29 21:58:18      | 2022-06-24 16:22:11      |
|181 | user_312    | 2024-02-16 12:15:37      | 2024-03-10 17:05:15      |
|182 | user_451    | 2023-02-12 21:56:09      | 2023-03-09 05:32:34      |
|183 | user_375    | 2020-11-16 04:35:25      | 2020-12-10 05:47:28      |
|184 | user_278    | 2023-07-10 21:21:34      | 2023-08-04 19:29:07      |
|185 | user_203    | 2022-02-07 11:47:59      | 2022-03-04 03:45:52      |
|186 | user_297    | 2020-10-28 17:43:52      | 2020-11-22 07:24:59      |
|187 | user_379    | 2023-05-31 07:23:29      | 2023-06-25 11:41:12      |
|188 | user_422    | 2022-04-23 09:32:08      | 2022-05-19 09:34:37      |
|189 | user_106    | 2020-08-26 00:59:55      | 2020-09-19 16:26:12      |
|190 | user_365    | 2024-01-12 10:08:38      | 2024-02-05 13:29:47      |
|191 | user_356    | 2023-09-06 00:36:57      | 2023-09-30 14:01:47      |
|192 | user_244    | 2022-12-02 05:41:35      | 2022-12-26 21:59:13      |
|193 | user_497    | 2021-07-18 01:18:42      | 2021-08-09 12:49:45      |
|194 | user_459    | 2020-12-05 18:39:26      | 2021-01-01 15:13:35      |
|195 | user_127    | 2022-03-19 21:55:48      | 2022-04-15 05:47:02      |
|196 | user_314    | 2023-01-15 22:42:39      | 2023-02-11 20:06:13      |
|197 | user_213    | 2020-05-21 09:48:19      | 2020-06-15 10:51:23      |
|198 | user_376    | 2024-01-24 19:56:27      | 2024-02-18 19:08:55      |
|199 | user_044    | 2023-06-05 19:44:29      | 2023-06-29 06:11:34      |
|200 | user_382    | 2022-08-09 23:25:34      | 2022-09-04 19:11:22      |
|201 | user_225    | 2021-01-18 10:08:28      | 2021-02-09 22:29:49      |
|202 | user_313    | 2020-08-21 08:51:08      | 2020-09-13 18:55:05      |
|203 | user_488    | 2023-07-30 02:00:49      | 2023-08-23 23:24:14      |
|204 | user_481    | 2022-05-28 20:49:17      | 2022-06-24 13:29:07      |
|205 | user_030    | 2020-09-16 22:54:17      | 2020-10-11 12:01:52      |
|206 | user_175    | 2024-01-18 20:19:24      | 2024-02-13 00:24:56      |
|207 | user_050    | 2023-01-21 06:19:37      | 2023-02-16 13:01:56      |
|208 | user_105    | 2022-06-05 19:31:08      | 2022-07-01 12:53:15      |
|209 | user_367    | 2020-04-18 19:53:37      | 2020-05-12 19:38:53      |
|210 | user_145    | 2024-02-02 14:20:41      | 2024-02-25 11:46:56      |
|211 | user_281    | 2023-08-28 05:20:29      | 2023-09-22 14:48:01      |
|212 | user_499    | 2022-03-13 17:49:37      | 2022-04-07 16:27:47      |
|213 | user_343    | 2020-05-05 06:31:19      | 2020-05-28 19:45:47      |
|214 | user_162    | 2024-02-22 21:36:22      | 2024-03-17 09:07:15      |
|215 | user_009    | 2022-05-03 04:21:18      | 2022-05-30 06:12:54      |
|216 | user_081    | 2021-01-31 22:13:49      | 2021-02-24 17:52:56      |
|217 | user_215    | 2020-09-05 18:51:28      | 2020-10-01 08:42:44      |
|218 | user_014    | 2023-02-23 03:27:39      | 2023-03-19 00:17:55      |
|219 | user_388    | 2020-12-23 21:55:28      | 2021-01-17 16:14:14      |
|220 | user_189    | 2024-03-17 01:12:37      | 2024-04-09 23:39:21      |
|221 | user_237    | 2023-10-19 00:49:59      | 2023-11-13 09:29:12      |
|222 | user_184    | 2022-06-29 05:22:29      | 2022-07-25 16:20:58      |
|223 | user_371    | 2020-06-15 07:22:41      | 2020-07-10 17:44:06      |
|224 | user_065    | 2024-04-07 09:52:29      | 2024-05-01 10:10:18      |
|225 | user_098    | 2023-01-22 22:15:38      | 2023-02-14 20:01:29      |
|226 | user_289    | 2022-04-09 04:55:09      | 2022-05-05 02:21:14      |
|227 | user_086    | 2021-01-17 03:16:59      | 2021-02-11 17:14:33      |
|228 | user_110    | 2020-09-07 10:59:23      | 2020-10-02 10:23:12      |
|229 | user_487    | 2023-01-14 03:44:22      | 2023-02-08 19:14:34      |
|230 | user_279    | 2022-08-03 02:53:19      | 2022-08-27 17:43:21      |
|231 | user_349    | 2020-11-17 08:52:33      | 2020-12-11 10:29:55      |
|232 | user_459    | 2024-02-27 11:31:41      | 2024-03-22 21:06:19      |
|233 | user_146    | 2023-08-16 10:18:38      | 2023-09-07 21:00:49      |
|234 | user_287    | 2020-05-07 20:34:29      | 2020-06-02 11:26:28      |
|235 | user_319    | 2022-01-30 22:51:38      | 2022-02-22 05:12:03      |
|236 | user_182    | 2021-01-17 17:42:41      | 2021-02-11 15:46:54      |
|237 | user_386    | 2024-01-28 08:53:19      | 2024-02-23 07:36:22      |
|238 | user_223    | 2022-11-23 12:21:12      | 2022-12-19 04:35:22      |
|239 | user_313    | 2022-01-09 09:25:39      | 2022-02-03 15:51:19      |
|240 | user_214    | 2020-12-02 00:58:42      | 2020-12-26 00:52:43      |
|241 | user_351    | 2023-04-03 20:35:31      | 2023-04-27 13:08:09      |
|242 | user_259    | 2022-06-06 02:55:11      | 2022-07-02 05:00:36      |
|243 | user_301    | 2021-06-07 06:13:28      | 2021-07-02 10:52:24      |
|244 | user_408    | 2020-08-22 01:44:09      | 2020-09-16 11:22:13      |
|245 | user_185    | 2022-07-25 09:14:39      | 2022-08-18 17:18:49      |
|246 | user_195    | 2023-06-26 20:03:42      | 2023-07-20 21:11:31      |
|247 | user_007    | 2020-10-27 18:11:58      | 2020-11-22 15:28:13      |
|248 | user_168    | 2024-03-14 07:08:19      | 2024-04-06 19:09:32      |
|249 | user_439    | 2022-09-03 05:21:59      | 2022-09-26 14:41:16      |
|250 | user_114    | 2021-01-26 19:57:42      | 2021-02-20 11:02:29      |
|251 | user_022    | 2020-08-17 09:43:49      | 2020-09-08 06:27:34      |
|252 | user_243    | 2023-03-14 15:27:02      | 2023-04-09 11:10:54      |
|253 | user_321    | 2022-06-24 01:43:59      | 2022-07-17 10:44:26      |
|254 | user_349    | 2020-11-08 15:44:38      | 2020-12-01 13:36:39      |
|255 | user_281    | 2024-03-10 15:18:27      | 2024-04-02 16:19:45      |
|256 | user_112    | 2023-01-15 02:42:34      | 2023-02-09 13:13:13      |
|257 | user_084    | 2022-05-02 08:32:55      | 2022-05-28 07:20:46      |
|258 | user_142    | 2021-10-02 23:09:28      | 2021-10-28 05:54:09      |
|259 | user_327    | 2020-08-03 04:58:38      | 2020-08-27 16:17:53      |
|260 | user_217    | 2024-02-22 00:13:09      | 2024-03-16 09:08:21      |
|261 | user_152    | 2023-02-20 03:34:18      | 2023-03-16 09:20:15      |
|262 | user_279    | 2022-01-02 07:41:34      | 2022-01-28 18:41:17      |
|263 | user_013    | 2020-07-07 08:05:11      | 2020-08-02 17:54:09      |
|264 | user_243    | 2024-02-08 14:21:19      | 2024-03-03 11:59:25      |
|265 | user_365    | 2021-05-11 01:36:32      | 2021-06-04 13:14:13      |
|266 | user_172    | 2020-07-21 14:09:45      | 2020-08-14 21:30:24      |
|267 | user_331    | 2022-03-10 19:51:02      | 2022-04-02 21:41:33      |
|268 | user_289    | 2021-02-07 12:57:26      | 2021-03-02 19:12:32      |
|269 | user_024    | 2020-10-25 22:02:47      | 2020-11-19 11:03:39      |
|270 | user_423    | 2023-08-28 21:39:18      | 2023-09-22 22:52:22      |
|271 | user_017    | 2022-01-26 11:09:11      | 2022-02-20 22:22:33      |
|272 | user_226    | 2020-11-18 00:31:22      | 2020-12-11 07:18:53      |
|273 | user_371    | 2024-01-11 11:19:33      | 2024-02-05 10:13:57      |
|274 | user_482    | 2021-05-03 22:37:52      | 2021-05-28 11:01:07      |
|275 | user_280    | 2020-07-31 17:15:38      | 2020-08-26 19:28:03      |
|276 | user_449    | 2023-03-09 01:57:19      | 2023-04-01 12:38:29      |
|277 | user_182    | 2022-03-29 11:17:58      | 2022-04-21 16:08:42      |
|278 | user_227    | 2020-10-11 10:08:25      | 2020-11-05 03:41:31      |
|279 | user_477    | 2024-04-05 01:19:13      | 2024-04-29 18:22:28      |
|280 | user_343    | 2022-08-14 02:43:09      | 2022-09-09 00:51:03      |
|281 | user_128    | 2020-12-12 19:56:42      | 2021-01-07 20:43:19      |
|282 | user_162    | 2023-01-02 18:55:18      | 2023-01-27 14:21:23      |
|283 | user_259    | 2022-03-28 00:29:41      | 2022-04-22 19:38:52      |
|284 | user_124    | 2020-07-12 17:01:09      | 2020-08-06 15:18:37      |
|285 | user_385    | 2024-01-21 15:10:38      | 2024-02-16 15:21:07      |
|286 | user_082    | 2022-10-16 07:08:49      | 2022-11-09 20:47:57      |
|287 | user_242    | 2021-11-16 23:32:35      | 2021-12-09 13:32:47      |
|288 | user_273    | 2020-07-22 02:24:49      | 2020-08-18 14:00:03      |
|289 | user_333    | 2024-01-14 00:45:17      | 2024-02-07 10:14:48      |
|290 | user_464    | 2023-05-08 22:10:58      | 2023-06-03 14:15:16      |
|291 | user_156    | 2022-05-05 23:05:36      | 2022-06-01 15:18:14      |
|292 | user_442    | 2021-03-14 08:39:48      | 2021-04-07 19:17:16      |
|293 | user_047    | 2020-07-07 22:08:23      | 2020-08-01 12:27:31      |
|294 | user_320    | 2023-09-07 09:45:19      | 2023-10-02 15:03:09      |
|295 | user_333    | 2020-08-31 08:43:37      | 2020-09-24 17:22:56      |
|296 | user_236    | 2022-12-17 03:39:58      | 2023-01-12 10:18:43      |
|297 | user_280    | 2022-07-19 06:21:57      | 2022-08-14 01:42:17      |
|298 | user_217    | 2020-12-03 17:36:11      | 2020-12-27 22:00:13      |
|299 | user_001    | 2023-06-16 01:33:59      | 2023-07-09 14:18:52      |
|300 | user_188    | 2022-02-18 11:05:33      | 2022-03-14 05:56:22      |
|301 | user_325    | 2020-11-18 09:27:14      | 2020-12-12 16:33:15      |
|302 | user_294    | 2024-03-07 08:58:12      | 2024-04-01 09:30:29      |
|303 | user_459    | 2022-08-17 00:38:29      | 2022-09-11 09:41:49      |
|304 | user_167    | 2021-10-13 19:53:38      | 2021-11-06 23:54:45      |
|305 | user_269    | 2020-08-06 19:14:18      | 2020-08-31 09:15:24      |
|306 | user_305    | 2023-02-06 07:39:34      | 2023-03-01 21:54:57      |
|307 | user_128    | 2020-06-29 21:31:19      | 2020-07-23 20:44:02      |
|308 | user_142    | 2023-06-30 20:58:48      | 2023-07-24 13:16:27      |
|309 | user_295    | 2022-08-21 05:47:38      | 2022-09-16 19:52:46      |
|310 | user_370    | 2021-08-26 14:42:22      | 2021-09-20 11:59:58      |
|311 | user_029    | 2020-07-03 15:33:08      | 2020-07-29 13:10:19      |
|312 | user_024    | 2024-02-25 17:20:28      | 2024-03-20 05:41:29      |
|313 | user_488    | 2022-06-24 00:35:42      | 2022-07-17 07:44:07      |
|314 | user_295    | 2022-11-23 22:16:59      | 2022-12-18 17:20:42      |
|315 | user_083    | 2021-02-26 04:21:35      | 2021-03-20 05:33:56      |
|316 | user_343    | 2020-12-13 08:15:19      | 2021-01-08 11:02:37      |
|317 | user_210    | 2023-06-27 06:32:58      | 2023-07-23 05:07:09      |
|318 | user_344    | 2022-08-12 10:36:17      | 2022-09-05 18:56:03      |
|319 | user_472    | 2021-03-11 12:59:29      | 2021-04-03 17:03:54      |
|320 | user_126    | 2020-06-16 18:28:42      | 2020-07-11 16:21:58      |
|321 | user_171    | 2023-09-21 01:14:33      | 2023-10-17 02:15:18      |
|322 | user_421    | 2023-05-09 23:55:11      | 2023-06-02 23:09:24      |
|323 | user_193    | 2022-10-13 15:53:38      | 2022-11-06 11:59:26      |
|324 | user_312    | 2021-02-18 07:08:19      | 2021-03-12 20:39:31      |
|325 | user_093    | 2020-07-20 10:09:12      | 2020-08-14 06:13:14      |
|326 | user_229    | 2024-03-11 21:36:11      | 2024-04-04 05:14:26      |
|327 | user_264    | 2023-01-05 09:11:39      | 2023-01-30 21:45:07      |
|328 | user_135    | 2022-04-09 22:54:09      | 2022-05-03 04:56:18      |
|329 | user_087    | 2020-07-21 08:01:36      | 2020-08-15 13:35:09      |
|330 | user_285    | 2023-10-12 09:26:42      | 2023-11-05 14:09:57      |
|331 | user_441    | 2022-09-05 14:07:58      | 2022-10-01 15:28:08      |
|332 | user_065    | 2021-06-28 03:22:41      | 2021-07-21 07:15:32      |
|333 | user_214    | 2020-12-21 14:05:39      | 2021-01-16 18:08:37      |
|334 | user_442    | 2023-04-26 19:33:55      | 2023-05-21 02:35:28      |
|335 | user_094    | 2022-03-21 17:13:22      | 2022-04-16 01:12:11      |
|336 | user_192    | 2020-07-20 09:43:59      | 2020-08-14 08:38:18      |
|337 | user_269    | 2024-02-17 05:29:28      | 2024-03-12 19:41:59      |
|338 | user_328    | 2022-08-27 05:51:19      | 2022-09-20 12:33:25      |
|339 | user_245    | 2021-04-21 05:18:02      | 2021-05-15 08:13:17      |
|340 | user_289    | 2020-10-07 06:28:49      | 2020-11-02 06:55:58      |
|341 | user_389    | 2023-05-15 07:07:39      | 2023-06-08 16:05:42      |
|342 | user_115    | 2022-02-02 12:16:18      | 2022-02-26 15:01:39      |
|343 | user_140    | 2020-12-26 20:42:09      | 2021-01-19 05:42:49      |
|344 | user_084    | 2024-02-02 11:13:28      | 2024-02-27 06:14:49      |
|345 | user_032    | 2023-09-03 23:21:13      | 2023-09-28 16:32:42      |
